epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
71,0.0674,0.298,0.4214,0.582,0.0674,0.1261,0.1346,0.1397,0.0674,0.1662,0.1973,0.2293,0.0674,0.0298,0.0211,0.0116,0.0674,0.298,0.4214,0.582,2418.9665,0.1662
72,0.0646,0.2987,0.4136,0.5773,0.0646,0.1248,0.1327,0.1381,0.0646,0.1653,0.1943,0.2271,0.0646,0.0299,0.0207,0.0115,0.0646,0.2987,0.4136,0.5773,2417.6319,0.1653
73,0.0659,0.3015,0.4152,0.5781,0.0659,0.1256,0.1335,0.1388,0.0659,0.1666,0.1953,0.2279,0.0659,0.0301,0.0208,0.0116,0.0659,0.3015,0.4152,0.5781,2416.1512,0.1666
74,0.0651,0.2987,0.4179,0.5803,0.0651,0.1252,0.1334,0.1386,0.0651,0.1657,0.1957,0.2281,0.0651,0.0299,0.0209,0.0116,0.0651,0.2987,0.4179,0.5803,2414.9822,0.1657
75,0.0674,0.2985,0.4175,0.5795,0.0674,0.1252,0.1334,0.1387,0.0674,0.1656,0.1957,0.228,0.0674,0.0299,0.0209,0.0116,0.0674,0.2985,0.4175,0.5795,2413.678,0.1656
76,0.0667,0.3003,0.4204,0.5811,0.0667,0.1265,0.1346,0.1398,0.0667,0.167,0.1972,0.2292,0.0667,0.03,0.021,0.0116,0.0667,0.3003,0.4204,0.5811,2412.9212,0.167
77,0.069,0.2974,0.4194,0.5815,0.069,0.1268,0.1352,0.1405,0.069,0.1666,0.1974,0.2297,0.069,0.0297,0.021,0.0116,0.069,0.2974,0.4194,0.5815,2410.9299,0.1666
78,0.0649,0.3015,0.4141,0.5791,0.0649,0.125,0.1327,0.1381,0.0649,0.1661,0.1945,0.2275,0.0649,0.0301,0.0207,0.0116,0.0649,0.3015,0.4141,0.5791,2409.7859,0.1661
79,0.068,0.2977,0.4194,0.5823,0.068,0.1266,0.1349,0.1401,0.068,0.1665,0.1971,0.2296,0.068,0.0298,0.021,0.0116,0.068,0.2977,0.4194,0.5823,2408.9241,0.1665
80,0.0664,0.3022,0.4175,0.5801,0.0664,0.1267,0.1346,0.1399,0.0664,0.1676,0.1966,0.2291,0.0664,0.0302,0.0209,0.0116,0.0664,0.3022,0.4175,0.5801,2407.6511,0.1676
81,0.0685,0.2992,0.418,0.582,0.0685,0.1269,0.1351,0.1404,0.0685,0.167,0.197,0.2297,0.0685,0.0299,0.0209,0.0116,0.0685,0.2992,0.418,0.582,2406.5323,0.167
82,0.0654,0.3002,0.42,0.5798,0.0654,0.1255,0.1338,0.139,0.0654,0.1663,0.1965,0.2284,0.0654,0.03,0.021,0.0116,0.0654,0.3002,0.42,0.5798,2405.4227,0.1663
83,0.0652,0.2945,0.4179,0.578,0.0652,0.1248,0.1333,0.1386,0.0652,0.1645,0.1956,0.2277,0.0652,0.0295,0.0209,0.0116,0.0652,0.2945,0.4179,0.578,2403.9254,0.1645
84,0.0674,0.2952,0.4184,0.5768,0.0674,0.1269,0.1354,0.1406,0.0674,0.1663,0.1974,0.229,0.0674,0.0295,0.0209,0.0115,0.0674,0.2952,0.4184,0.5768,2402.4427,0.1663
85,0.0669,0.301,0.4171,0.5818,0.0669,0.1262,0.1342,0.1396,0.0669,0.1669,0.1962,0.2292,0.0669,0.0301,0.0209,0.0116,0.0669,0.301,0.4171,0.5818,2401.9293,0.1669
86,0.0664,0.3008,0.4205,0.5795,0.0664,0.1259,0.1342,0.1393,0.0664,0.1667,0.1969,0.2286,0.0664,0.0301,0.021,0.0116,0.0664,0.3008,0.4205,0.5795,2400.5369,0.1667
87,0.0672,0.2997,0.4222,0.5829,0.0672,0.1273,0.1357,0.1408,0.0672,0.1676,0.1983,0.2303,0.0672,0.03,0.0211,0.0117,0.0672,0.2997,0.4222,0.5829,2399.4632,0.1676
